token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur_no_funding,funding,pnl_eur
LTC,LONG,2025-09-17,2025-10-17,114.9,90.547,115.0149,90.456453,5.0,-0.21352404775381278,0.0045,-1.0721202387690638,0.05012456944623262,-1.0219956693228311
MERL,SHORT,2025-09-17,2025-10-17,0.18391,0.31874,0.18372608999999998,0.31905874,5.0,-0.7366000658915673,0.0045,-3.687500329457837,-0.09432575350977644,-3.7818260829676134
WLD,SHORT,2025-09-17,2025-10-17,1.5812,0.87127,1.5796188,0.8721412699999999,5.0,0.44787864641773073,0.0045,2.2348932320886536,0.04006486736749715,2.2749580994561507
MEME,SHORT,2025-09-17,2025-10-17,0.002696,0.001628,0.002693304,0.001629628,5.0,0.3949335091768327,0.0045,1.9701675458841634,1.659087499963647e-06,1.9701692049716635
BTC,LONG,2025-09-18,2025-10-18,117484.0,107062.0,117601.48399999998,106954.938,5.0,-0.09053071133013925,0.0045,-0.45715355665069624,0.04287942754953246,-0.4142741291011638
LTC,LONG,2025-09-18,2025-10-18,118.53,91.891,118.64853,91.799109,5.0,-0.22629375180628022,0.0045,-1.1359687590314012,0.047812169576681655,-1.0881565894547196
TRX,LONG,2025-09-18,2025-10-18,0.35036,0.31389,0.35071035999999994,0.31357611,5.0,-0.1058829570931407,0.0045,-0.5339147854657035,0.0421588555594993,-0.4917559299062042
WLD,SHORT,2025-09-18,2025-10-18,1.5962,0.89032,1.5946038,0.8912103199999999,5.0,0.44110861895600656,0.0045,2.2010430947800326,0.0367480275752259,2.2377911223552585
MERL,SHORT,2025-09-18,2025-10-18,0.18505,0.30701,0.18486495,0.30731700999999995,5.0,-0.6623865692225592,0.0045,-3.3164328461127965,-0.22998139744710935,-3.546414243559906
MEME,SHORT,2025-09-18,2025-10-18,0.002708,0.001656,0.0027052919999999998,0.0016576559999999998,5.0,0.38725431487617606,0.0045,1.9317715743808803,-0.0028593456390289826,1.9289122287418514
BTC,LONG,2025-09-19,2025-10-19,115176.0,108841.0,115291.17599999999,108732.159,5.0,-0.05689088469355186,0.0045,-0.2889544234677593,0.04360322912219666,-0.24535119434556263
TRX,LONG,2025-09-19,2025-10-19,0.3441,0.32025,0.3444441,0.31992974999999996,5.0,-0.07117076471915187,0.0045,-0.36035382359575935,0.04408715705006995,-0.3162666665456894
LTC,LONG,2025-09-19,2025-10-19,113.86,94.073,113.97385999999999,93.978927,5.0,-0.1754343759174252,0.0045,-0.8816718795871259,0.048944361650175766,-0.8327275179369501
MERL,SHORT,2025-09-19,2025-10-19,0.19202,0.33262,0.19182798,0.33295262,5.0,-0.7356832929169143,0.0045,-3.6829164645845713,-0.2596900997671455,-3.942606564351717
WLD,SHORT,2025-09-19,2025-10-19,1.5004,0.92281,1.4988995999999999,0.92373281,5.0,0.38372602808086675,0.0045,1.9141301404043338,0.03277736811075606,1.94690750851509
EIGEN,SHORT,2025-09-19,2025-10-19,1.8486,1.1457,1.8467514,1.1468456999999999,5.0,0.3789929169676006,0.0045,1.8904645848380033,0.07066254382560641,1.9611271286636096
BTC,LONG,2025-09-22,2025-10-22,112115.0,107840.0,112227.11499999999,107732.16,6.0,-0.04005230821446303,0.0054,-0.24571384928677817,0.05049216196898941,-0.19522168731778877
TRX,LONG,2025-09-22,2025-10-22,0.34025,0.32075,0.34059025,0.32042925,6.0,-0.05919429578503784,0.0054,-0.36056577471022705,0.05230285543164552,-0.3082629192785815
LTC,LONG,2025-09-22,2025-10-22,104.65,93.788,104.75465,93.694212,6.0,-0.10558421988904555,0.0054,-0.6389053193342733,0.06008490591245544,-0.5788204134218179
MERL,SHORT,2025-09-22,2025-10-22,0.28288,0.33931,0.28259712000000003,0.33964931,6.0,-0.20188524921980783,0.0054,-1.2167114953188471,-0.2585517027009192,-1.4752631980197664
EIGEN,SHORT,2025-09-22,2025-10-22,1.7394,1.0467,1.7376606,1.0477466999999998,6.0,0.3970360495024174,0.0054,2.3768162970145044,0.06716096275589145,2.4439772597703957
BTC,LONG,2025-09-23,2025-10-23,111629.0,110233.0,111740.62899999999,110122.767,5.0,-0.01447872644425493,0.0045,-0.07689363222127465,0.04194640308176984,-0.034947229139504814
TRX,LONG,2025-09-23,2025-10-23,0.33568,0.31594,0.3360156799999999,0.31562406,5.0,-0.06068651320081238,0.0045,-0.3079325660040619,0.04409555575345474,-0.26383701025060713
LTC,LONG,2025-09-23,2025-10-23,105.94,93.796,106.04593999999999,93.70220400000001,5.0,-0.11639989234854234,0.0045,-0.5864994617427116,0.04901187840060167,-0.53748758334211
MERL,SHORT,2025-09-23,2025-10-23,0.31687,0.36746,0.31655312999999996,0.36782746,5.0,-0.16197701156832675,0.0045,-0.8143850578416337,-0.1937411534723413,-1.008126211313975
WLD,SHORT,2025-09-23,2025-10-23,1.3012,0.85775,1.2998988,0.8586077499999999,5.0,0.33948108114262443,0.0045,1.692905405713122,0.032017759979311465,1.7249231656924335
EIGEN,SHORT,2025-09-23,2025-10-23,1.696,1.091,1.694304,1.092091,5.0,0.3554338536649858,0.0045,1.7726692683249292,0.056242657804414085,1.8289119261293434
BTC,LONG,2025-09-24,2025-10-24,113408.0,110659.0,113521.40799999998,110548.341,5.0,-0.026189483132555768,0.0045,-0.13544741566277885,0.041248659478787475,-0.09419875618399137
GAS,LONG,2025-09-24,2025-10-24,3.0548,2.6122,3.0578548,2.6095878,5.0,-0.14659525363990467,0.0045,-0.7374762681995233,0.02401207057867823,-0.713464197620845
TRX,LONG,2025-09-24,2025-10-24,0.33883,0.30458,0.33916883,0.30427542,5.0,-0.10287917672151642,0.0045,-0.5188958836075821,0.043575443652870464,-0.4753204399547116
MERL,SHORT,2025-09-24,2025-10-24,0.33902,0.38945,0.33868097999999996,0.38983945,5.0,-0.151052090377204,0.0045,-0.7597604518860199,-0.19815038179795338,-0.9579108336839733
EIGEN,SHORT,2025-09-24,2025-10-24,1.8498,1.0915,1.8479502,1.0925914999999997,5.0,0.40875490042967627,0.0045,2.0392745021483814,0.04967471447877762,2.088949216627159
