token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur_no_funding,funding,pnl_eur,liquidated,liquidation_date,liq_price,worst_price,pnl_eur_clean,equity
MINA,LONG,2025-07-21 00:00:00+00:00,2025-08-20 00:00:00+00:00,0.23309,0.18778,0.2333230899999999,0.18759222,10.0,-0.1959980471714135,0.009,-1.968980471714135,0.087457565066535,-1.8815229066476,False,,0.1166615449999999,0.17314,-1.8815229066476,-118.16468986369081
SYRUP,SHORT,2025-07-21 00:00:00+00:00,2025-08-20 00:00:00+00:00,0.4142,0.42398,0.4137858,0.4244039799999999,10.0,-0.0256610545842798,0.009,-0.2656105458427988,-0.1526001621220931,-0.4182107079648919,False,,0.6206787,0.56999,-0.4182107079648919,-118.5829005716557
HYPER,SHORT,2025-07-21 00:00:00+00:00,2025-08-20 00:00:00+00:00,0.3463,0.36041,0.3459537,0.36077041,10.0,-0.0428285923810036,0.009,-0.4372859238100361,-1.2482557919579125,-1.6855417157679484,True,2025-07-25 19:00:00+00:00,0.51893055,0.53101,-10.0,-128.5829005716557
GRIFFAIN,SHORT,2025-07-21 00:00:00+00:00,2025-08-20 00:00:00+00:00,0.053772,0.037901,0.053718228,0.0379389009999999,10.0,0.2937425076642515,0.009,2.9284250766425153,0.1305834716005152,3.0590085482430305,False,,0.080577342,0.053772,3.0590085482430305,-125.52389202341267
SYRUP,SHORT,2025-07-22 00:00:00+00:00,2025-08-21 00:00:00+00:00,0.44783,0.40841,0.44738217,0.4088184099999999,10.0,0.0861986967428765,0.009,0.8529869674287659,-0.1539369003596187,0.6990500670691472,False,,0.671073255,0.56999,0.6990500670691472,-124.82484195634352
MOVE,SHORT,2025-07-22 00:00:00+00:00,2025-08-21 00:00:00+00:00,0.18156,0.1261,0.18137844,0.1262260999999999,10.0,0.3040732955912512,0.009,3.031732955912512,-0.2003532017326866,2.8313797541798253,False,,0.27206766,0.18156,2.8313797541798253,-121.9934622021637
JTO,SHORT,2025-07-22 00:00:00+00:00,2025-08-21 00:00:00+00:00,2.138,1.7406,2.135862,1.7423405999999997,10.0,0.184244768622692,0.009,1.8334476862269204,0.0810145424097156,1.914462228636636,False,,3.203793,2.138,1.914462228636636,-120.07899997352706
AVAX,LONG,2025-07-22 00:00:00+00:00,2025-08-21 00:00:00+00:00,24.884,22.815,24.908883999999997,22.792185,10.0,-0.0849776730262181,0.009,-0.8587767302621817,0.1400986661679423,-0.7186780640942394,False,,12.454441999999998,20.867,-0.7186780640942394,-120.7976780376213
GMT,LONG,2025-07-22 00:00:00+00:00,2025-08-21 00:00:00+00:00,0.055985,0.041105,0.0560409849999999,0.041063895,10.0,-0.2672524403345158,0.009,-2.6815244033451577,0.0395273176437387,-2.641997085701419,False,,0.0280204924999999,0.041134,-2.641997085701419,-123.43967512332271
NEAR,LONG,2025-07-22 00:00:00+00:00,2025-08-21 00:00:00+00:00,2.9214,2.4526,2.9243213999999997,2.4501474,10.0,-0.1621483876567054,0.009,-1.6304838765670546,0.0832388905629183,-1.5472449860041364,False,,1.4621607,2.3293,-1.5472449860041364,-124.98692010932685
