perp,time,fundingRate
0G,2025-11-08 16:00:00.029000+00:00,-0.0028931088
0G,2025-11-09 00:00:00.028000+00:00,-0.0046026512
0G,2025-11-09 08:00:00.038000+00:00,-0.0029746653
0G,2025-11-09 16:00:00.039000+00:00,-0.0015747055
0G,2025-11-10 00:00:00.049000+00:00,-0.0018944315
0G,2025-11-10 08:00:00.042000+00:00,-0.0026320255
0G,2025-11-10 16:00:00.048000+00:00,-0.0010818145
0G,2025-11-11 00:00:00.073000+00:00,-0.0021080889
0G,2025-11-11 08:00:00.049000+00:00,-0.0006819561
0G,2025-11-11 16:00:00.015000+00:00,-0.0003636204
0G,2025-11-12 00:00:00.096000+00:00,-0.0003442562
0G,2025-11-12 08:00:00.004000+00:00,-0.0007480622
0G,2025-11-12 16:00:00.001000+00:00,-0.0005293808
0G,2025-11-13 00:00:00.007000+00:00,-0.001098904
0G,2025-11-13 08:00:00.053000+00:00,-0.0006128791
0G,2025-11-13 16:00:00.012000+00:00,-0.0002901254
0G,2025-11-14 00:00:00.130000+00:00,-0.0002855939
0G,2025-11-14 08:00:00.098000+00:00,-0.0002549495
0G,2025-11-14 16:00:00.014000+00:00,-0.0001449871
0G,2025-11-15 00:00:00.028000+00:00,-0.0001959985
0G,2025-11-15 08:00:00.089000+00:00,-0.0001408257
0G,2025-11-15 16:00:00.015000+00:00,-0.0002634608
0G,2025-11-16 00:00:00.002000+00:00,-0.0002352986
0G,2025-11-16 08:00:00.087000+00:00,-0.0004651033
0G,2025-11-16 16:00:00.012000+00:00,-0.000333713
0G,2025-11-17 00:00:00.032000+00:00,-0.0006511676
0G,2025-11-17 08:00:00.018000+00:00,-0.000408148
AAVE,2025-06-05 00:00:00.030000+00:00,1.25e-05
AAVE,2025-06-05 08:00:00.070000+00:00,1.25e-05
AAVE,2025-06-05 16:00:00.036000+00:00,1.25e-05
AAVE,2025-06-06 00:00:00.006000+00:00,1.25e-05
AAVE,2025-06-06 08:00:00.093000+00:00,1.25e-05
AAVE,2025-06-06 16:00:00.031000+00:00,1.25e-05
AAVE,2025-06-07 00:00:00.049000+00:00,1.25e-05
AAVE,2025-06-07 08:00:00.011000+00:00,1.25e-05
AAVE,2025-06-07 16:00:00.047000+00:00,1.25e-05
AAVE,2025-06-08 00:00:00.068000+00:00,1.25e-05
AAVE,2025-06-08 08:00:00.054000+00:00,2.08716e-05
AAVE,2025-06-08 16:00:00.155000+00:00,1.25e-05
AAVE,2025-06-09 00:00:00.057000+00:00,1.25e-05
AAVE,2025-06-09 08:00:00.048000+00:00,1.25e-05
AAVE,2025-06-09 16:00:00.064000+00:00,2.64087e-05
AAVE,2025-06-10 00:00:00.020000+00:00,5.90262e-05
AAVE,2025-06-10 08:00:00.005000+00:00,4.74322e-05
AAVE,2025-06-10 16:00:00.050000+00:00,1.25e-05
