perp,time,close
PEOPLE,2025-09-30 18:00:00,0.016165
PEOPLE,2025-10-01 18:00:00,0.01741
PEOPLE,2025-10-02 18:00:00,0.018017
PEOPLE,2025-10-03 18:00:00,0.018142
PEOPLE,2025-10-04 18:00:00,0.017354
PEOPLE,2025-10-05 18:00:00,0.017476
PEOPLE,2025-10-06 18:00:00,0.018407
PEOPLE,2025-10-07 18:00:00,0.016768
PEOPLE,2025-10-08 18:00:00,0.017904
PEOPLE,2025-10-09 18:00:00,0.016413
PEOPLE,2025-10-10 18:00:00,0.015157
PEOPLE,2025-10-11 18:00:00,0.011929
PEOPLE,2025-10-12 18:00:00,0.013208
PEOPLE,2025-10-13 18:00:00,0.013643
PEOPLE,2025-10-14 18:00:00,0.013305
PEOPLE,2025-10-15 18:00:00,0.012757
PEOPLE,2025-10-16 18:00:00,0.012195
PEOPLE,2025-10-17 18:00:00,0.011621
PEOPLE,2025-10-18 18:00:00,0.01211
PEOPLE,2025-10-19 18:00:00,0.012508
PEOPLE,2025-10-20 18:00:00,0.012607
PEOPLE,2025-10-21 18:00:00,0.012889
PEOPLE,2025-10-22 18:00:00,0.011914
PEOPLE,2025-10-23 18:00:00,0.012209
PEOPLE,2025-10-24 18:00:00,0.012346
PEOPLE,2025-10-25 18:00:00,0.012466
PEOPLE,2025-10-26 18:00:00,0.012867
PEOPLE,2025-10-27 18:00:00,0.012808
PEOPLE,2025-10-28 18:00:00,0.01235
PEOPLE,2025-10-29 18:00:00,0.012086
PEOPLE,2025-10-30 18:00:00,0.010555
PEOPLE,2025-10-31 18:00:00,0.010975
PEOPLE,2025-11-01 18:00:00,0.011758
PEOPLE,2025-11-02 18:00:00,0.01141
PEOPLE,2025-11-03 18:00:00,0.010042
PEOPLE,2025-11-04 18:00:00,0.00976
PEOPLE,2025-11-05 18:00:00,0.010213
PEOPLE,2025-11-06 18:00:00,0.009928
PEOPLE,2025-11-07 18:00:00,0.01426
PEOPLE,2025-11-08 18:00:00,0.012523
PEOPLE,2025-11-09 18:00:00,0.012646
PEOPLE,2025-11-10 18:00:00,0.012232
PEOPLE,2025-11-11 18:00:00,0.011822
PEOPLE,2025-11-12 18:00:00,0.011125
PEOPLE,2025-11-13 18:00:00,0.010931
PNUT,2025-06-05 18:00:00,0.24687
PNUT,2025-06-06 18:00:00,0.23868
PNUT,2025-06-07 18:00:00,0.26045
PNUT,2025-06-08 18:00:00,0.26448
PNUT,2025-06-09 18:00:00,0.27531
PNUT,2025-06-10 18:00:00,0.29045
PNUT,2025-06-11 18:00:00,0.28444
PNUT,2025-06-12 18:00:00,0.25121
PNUT,2025-06-13 18:00:00,0.22492
PNUT,2025-06-14 18:00:00,0.22319
PNUT,2025-06-15 18:00:00,0.22801
PNUT,2025-06-16 18:00:00,0.24489
PNUT,2025-06-17 18:00:00,0.22139
PNUT,2025-06-18 18:00:00,0.21617
PNUT,2025-06-19 18:00:00,0.22062
PNUT,2025-06-20 18:00:00,0.22524
PNUT,2025-06-21 18:00:00,0.20776
PNUT,2025-06-22 18:00:00,0.18727
PNUT,2025-06-23 18:00:00,0.2066
PNUT,2025-06-24 18:00:00,0.21708
PNUT,2025-06-25 18:00:00,0.20543
PNUT,2025-06-26 18:00:00,0.19575
PNUT,2025-06-27 18:00:00,0.19735
PNUT,2025-06-28 18:00:00,0.21994
PNUT,2025-06-29 18:00:00,0.22097
PNUT,2025-06-30 18:00:00,0.23519
PNUT,2025-07-01 18:00:00,0.21146
PNUT,2025-07-02 18:00:00,0.24528
PNUT,2025-07-03 18:00:00,0.23686
PNUT,2025-07-04 18:00:00,0.22044
PNUT,2025-07-05 18:00:00,0.21472
PNUT,2025-07-06 18:00:00,0.22303
PNUT,2025-07-07 18:00:00,0.2121
PNUT,2025-07-08 18:00:00,0.2364
PNUT,2025-07-09 18:00:00,0.22233
PNUT,2025-07-10 18:00:00,0.27528
PNUT,2025-07-11 18:00:00,0.28934
PNUT,2025-07-12 18:00:00,0.27239
PNUT,2025-07-13 18:00:00,0.28588
PNUT,2025-07-14 18:00:00,0.27178
PNUT,2025-07-15 18:00:00,0.27814
PNUT,2025-07-16 18:00:00,0.30743
PNUT,2025-07-17 18:00:00,0.28783
PNUT,2025-07-18 18:00:00,0.28103
PNUT,2025-07-19 18:00:00,0.27952
PNUT,2025-07-20 18:00:00,0.31501
PNUT,2025-07-21 18:00:00,0.30846
PNUT,2025-07-22 18:00:00,0.31688
PNUT,2025-07-23 18:00:00,0.30077
PNUT,2025-07-24 18:00:00,0.2746
PNUT,2025-07-25 18:00:00,0.26791
PNUT,2025-07-26 18:00:00,0.27728
PNUT,2025-07-27 18:00:00,0.28616
PNUT,2025-07-28 18:00:00,0.26667
PNUT,2025-07-29 18:00:00,0.24992
PNUT,2025-07-30 18:00:00,0.25228
PNUT,2025-07-31 18:00:00,0.24423
PNUT,2025-08-01 18:00:00,0.22787
PNUT,2025-08-02 18:00:00,0.21303
PNUT,2025-08-03 18:00:00,0.2245
PNUT,2025-08-04 18:00:00,0.22879
PNUT,2025-08-05 18:00:00,0.21697
PNUT,2025-08-06 18:00:00,0.22664
PNUT,2025-08-07 18:00:00,0.22908
PNUT,2025-08-08 18:00:00,0.23728
PNUT,2025-08-09 18:00:00,0.25946
PNUT,2025-08-10 18:00:00,0.25906
PNUT,2025-08-11 18:00:00,0.24687
PNUT,2025-08-12 18:00:00,0.25301
PNUT,2025-08-13 18:00:00,0.26138
PNUT,2025-08-14 18:00:00,0.22864
PNUT,2025-08-15 18:00:00,0.22106
PNUT,2025-08-16 18:00:00,0.22763
PNUT,2025-08-17 18:00:00,0.22981
PNUT,2025-08-18 18:00:00,0.22418
PNUT,2025-08-19 18:00:00,0.20977
PNUT,2025-08-20 18:00:00,0.21905
PNUT,2025-08-21 18:00:00,0.21598
PNUT,2025-08-22 18:00:00,0.23155
PNUT,2025-08-23 18:00:00,0.23592
PNUT,2025-08-24 18:00:00,0.2383
PNUT,2025-08-25 18:00:00,0.21097
PNUT,2025-08-26 18:00:00,0.21553
PNUT,2025-08-27 18:00:00,0.21295
PNUT,2025-08-28 18:00:00,0.21752
PNUT,2025-08-29 18:00:00,0.202
PNUT,2025-08-30 18:00:00,0.21425
PNUT,2025-08-31 18:00:00,0.21358
PNUT,2025-09-01 18:00:00,0.20019
PNUT,2025-09-02 18:00:00,0.20202
PNUT,2025-09-03 18:00:00,0.2086
PNUT,2025-09-04 18:00:00,0.19712
PNUT,2025-09-05 18:00:00,0.21055
PNUT,2025-09-06 18:00:00,0.20936
PNUT,2025-09-07 18:00:00,0.21362
PNUT,2025-09-08 18:00:00,0.23465
PNUT,2025-09-09 18:00:00,0.22745
PNUT,2025-09-10 18:00:00,0.2329
PNUT,2025-09-11 18:00:00,0.23421
PNUT,2025-09-12 18:00:00,0.26535
PNUT,2025-09-13 18:00:00,0.25957
PNUT,2025-09-14 18:00:00,0.25148
PNUT,2025-09-15 18:00:00,0.23557
PNUT,2025-09-16 18:00:00,0.24451
PNUT,2025-09-17 18:00:00,0.2427
PNUT,2025-09-18 18:00:00,0.25843
PNUT,2025-09-19 18:00:00,0.23901
PNUT,2025-09-20 18:00:00,0.23899
PNUT,2025-09-21 18:00:00,0.23631
PNUT,2025-09-22 18:00:00,0.2113
PNUT,2025-09-23 18:00:00,0.20906
PNUT,2025-09-24 18:00:00,0.21533
PNUT,2025-09-25 18:00:00,0.20426
PNUT,2025-09-26 18:00:00,0.20693
PNUT,2025-09-27 18:00:00,0.20286
PNUT,2025-09-28 18:00:00,0.20259
PNUT,2025-09-29 18:00:00,0.20055
PNUT,2025-09-30 18:00:00,0.19797
PNUT,2025-10-01 18:00:00,0.21478
PNUT,2025-10-02 18:00:00,0.2242
PNUT,2025-10-03 18:00:00,0.22415
PNUT,2025-10-04 18:00:00,0.21471
PNUT,2025-10-05 18:00:00,0.21736
PNUT,2025-10-06 18:00:00,0.22993
PNUT,2025-10-07 18:00:00,0.20977
PNUT,2025-10-08 18:00:00,0.21515
PNUT,2025-10-09 18:00:00,0.20001
PNUT,2025-10-10 18:00:00,0.18695
PNUT,2025-10-11 18:00:00,0.14145
PNUT,2025-10-12 18:00:00,0.15168
PNUT,2025-10-13 18:00:00,0.15832
PNUT,2025-10-14 18:00:00,0.15311
PNUT,2025-10-15 18:00:00,0.1447
PNUT,2025-10-16 18:00:00,0.13717
PNUT,2025-10-17 18:00:00,0.13253
PNUT,2025-10-18 18:00:00,0.13608
PNUT,2025-10-19 18:00:00,0.14069
PNUT,2025-10-20 18:00:00,0.14024
PNUT,2025-10-21 18:00:00,0.14279
PNUT,2025-10-22 18:00:00,0.13128
PNUT,2025-10-23 18:00:00,0.13522
PNUT,2025-10-24 18:00:00,0.13477
PNUT,2025-10-25 18:00:00,0.13821
PNUT,2025-10-26 18:00:00,0.14004
PNUT,2025-10-27 18:00:00,0.14493
PNUT,2025-10-28 18:00:00,0.13709
PNUT,2025-10-29 18:00:00,0.13584
PNUT,2025-10-30 18:00:00,0.11788
PNUT,2025-10-31 18:00:00,0.12456
PNUT,2025-11-01 18:00:00,0.13107
PNUT,2025-11-02 18:00:00,0.12536
PNUT,2025-11-03 18:00:00,0.11022
PNUT,2025-11-04 18:00:00,0.10505
PNUT,2025-11-05 18:00:00,0.11379
PNUT,2025-11-06 18:00:00,0.108
PNUT,2025-11-07 18:00:00,0.12371
PNUT,2025-11-08 18:00:00,0.1176
PNUT,2025-11-09 18:00:00,0.1209
PNUT,2025-11-10 18:00:00,0.12125
PNUT,2025-11-11 18:00:00,0.11586
PNUT,2025-11-12 18:00:00,0.10997
PNUT,2025-11-13 18:00:00,0.10358
POPCAT,2025-06-05 18:00:00,0.33061
POPCAT,2025-06-06 18:00:00,0.33602
POPCAT,2025-06-07 18:00:00,0.35105
POPCAT,2025-06-08 18:00:00,0.36634
POPCAT,2025-06-09 18:00:00,0.39296
POPCAT,2025-06-10 18:00:00,0.40188
POPCAT,2025-06-11 18:00:00,0.40894
POPCAT,2025-06-12 18:00:00,0.35491
POPCAT,2025-06-13 18:00:00,0.3096
POPCAT,2025-06-14 18:00:00,0.30685
POPCAT,2025-06-15 18:00:00,0.32192
POPCAT,2025-06-16 18:00:00,0.34041
POPCAT,2025-06-17 18:00:00,0.29642
POPCAT,2025-06-18 18:00:00,0.29224
POPCAT,2025-06-19 18:00:00,0.29162
POPCAT,2025-06-20 18:00:00,0.27515
POPCAT,2025-06-21 18:00:00,0.25694
POPCAT,2025-06-22 18:00:00,0.24401
POPCAT,2025-06-23 18:00:00,0.27774
POPCAT,2025-06-24 18:00:00,0.28868
POPCAT,2025-06-25 18:00:00,0.2749
POPCAT,2025-06-26 18:00:00,0.25503
POPCAT,2025-06-27 18:00:00,0.26249
POPCAT,2025-06-28 18:00:00,0.30156
POPCAT,2025-06-29 18:00:00,0.30332
POPCAT,2025-06-30 18:00:00,0.30317
POPCAT,2025-07-01 18:00:00,0.27142
POPCAT,2025-07-02 18:00:00,0.31667
POPCAT,2025-07-03 18:00:00,0.31474
POPCAT,2025-07-04 18:00:00,0.29434
POPCAT,2025-07-05 18:00:00,0.28739
POPCAT,2025-07-06 18:00:00,0.30589
POPCAT,2025-07-07 18:00:00,0.28669
POPCAT,2025-07-08 18:00:00,0.29606
POPCAT,2025-07-09 18:00:00,0.2989
POPCAT,2025-07-10 18:00:00,0.34789
POPCAT,2025-07-11 18:00:00,0.38169
POPCAT,2025-07-12 18:00:00,0.36342
POPCAT,2025-07-13 18:00:00,0.38291
POPCAT,2025-07-14 18:00:00,0.36972
