token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur
ETC,LONG,2025-06-20,2025-07-20,16.119,25.246,16.1302833,25.2283278,4.285714285714286,0.564035009850075,0.0038571428571428567,2.4134357565003213
SOPH,LONG,2025-06-20,2025-07-20,0.036998,0.035725,0.0370238986,0.0356999925,4.285714285714286,-0.03575814946727412,0.0038571428571428567,-0.15710635485974622
SOL,LONG,2025-06-20,2025-07-20,139.23,182.39,139.32746099999997,182.26232699999997,4.285714285714286,0.30815795889655956,0.0038571428571428567,1.316819823842398
BNB,LONG,2025-06-20,2025-07-20,641.53,750.5,641.979071,749.97465,4.285714285714286,0.16822289678661506,0.0038571428571428567,0.7170981290854931
XAI,SHORT,2025-06-20,2025-07-20,0.05029,0.06785,0.050254797,0.06789749499999999,4.285714285714286,-0.3510649540580174,0.0038571428571428567,-1.5084212316772174
ZEN,SHORT,2025-06-20,2025-07-20,7.6766,9.8546,7.671226379999999,9.86149822,4.285714285714286,-0.28551782094586037,0.0038571428571428567,-1.2275049469108301
ZETA,SHORT,2025-06-20,2025-07-20,0.17464,0.2373,0.17451775199999997,0.23746610999999998,4.285714285714286,-0.3606988817962772,0.0038571428571428567,-1.5497094934126163
BNB,LONG,2025-06-21,2025-07-21,631.42,759.44,631.8619939999999,758.908392,4.285714285714286,0.20106668735641695,0.0038571428571428567,0.8578572315275012
SOPH,LONG,2025-06-21,2025-07-21,0.035004,0.037778,0.0350285028,0.0377515554,4.285714285714286,0.07773819553600783,0.0038571428571428567,0.3293065522971764
BTC,LONG,2025-06-21,2025-07-21,102590.0,117174.0,102661.813,117091.9782,4.285714285714286,0.14056020226332847,0.0038571428571428567,0.5985437239856933
ETC,LONG,2025-06-21,2025-07-21,15.718,23.832,15.7290026,23.8153176,4.285714285714286,0.5141022101426826,0.0038571428571428567,2.1994380434686396
SEI,LONG,2025-06-21,2025-07-21,0.21896,0.35262,0.21911327199999997,0.35237316599999996,4.285714285714286,0.6081781025112892,0.0038571428571428567,2.6026204393340966
XAI,SHORT,2025-06-21,2025-07-21,0.04756,0.06621,0.047526707999999994,0.066256347,4.285714285714286,-0.394086604946423,0.0038571428571428567,-1.6927997354846698
VINE,SHORT,2025-06-21,2025-07-21,0.026872,0.042662,0.0268531896,0.042691863399999995,4.285714285714286,-0.5898246739374303,0.0038571428571428567,-2.5316771740175588
SOPH,LONG,2025-06-22,2025-07-22,0.031979,0.039442,0.0320013853,0.039414390599999995,5.0,0.2316463875081057,0.0045,1.1537319375405286
SEI,LONG,2025-06-22,2025-07-22,0.19502,0.34687,0.19515651399999998,0.346627191,5.0,0.7761497369234626,0.0045,3.8762486846173125
BNB,LONG,2025-06-22,2025-07-22,607.22,774.61,607.645054,774.067773,5.0,0.2738814673212168,0.0045,1.3649073366060842
OM,SHORT,2025-06-22,2025-07-22,0.20013,0.30747,0.199989909,0.307685229,5.0,-0.5385037702077259,0.0045,-2.6970188510386297
XAI,SHORT,2025-06-22,2025-07-22,0.04441,0.0648,0.044378913,0.06484535999999999,5.0,-0.4611750404972738,0.0045,-2.310375202486369
