time,coin,dir,px,sz,ntl,fee,closedPnl
12/25/2025 - 19:03:23,YGG,Open Short,0.066204,152,10.063008,0.004528,-0.004528
12/25/2025 - 19:03:26,ME,Open Short,0.2067,48.4,10.00428,0.004501,-0.004501
12/26/2025 - 19:03:18,BTC,Open Long,87254,0.00012,10.47048,0.004711,-0.004711
12/26/2025 - 19:03:21,BCH,Open Long,597.95,0.017,10.165150000000002,0.004574,-0.004574
12/26/2025 - 19:03:24,TON,Open Long,1.5221,6.6,10.04586,0.00452,-0.00452
12/26/2025 - 19:03:26,ME,Open Short,0.19959,50.1,9.999459,0.004499,-0.004499
12/26/2025 - 19:03:29,MOVE,Open Short,0.034797,288,10.021536000000001,0.004509,-0.004509
12/26/2025 - 19:03:32,IP,Open Short,1.4411,7,10.0877,0.004539,-0.004539
12/27/2025 - 19:03:20,ATOM,Open Long,2.0488,4.89,10.018631999999998,0.004508,-0.004508
12/27/2025 - 19:03:23,BTC,Open Long,87526,0.00012,10.503120000000001,0.004726,-0.004726
12/27/2025 - 19:03:26,ALGO,Open Long,0.11787,85,10.01895,0.004508,-0.004508
12/27/2025 - 19:03:29,BANANA,Open Short,7.2258,1.4,10.116119999999999,0.004552,-0.004552
12/27/2025 - 19:03:32,MOVE,Open Short,0.035407,283,10.020181000000001,0.004509,-0.004509
12/27/2025 - 19:03:34,HMSTR,Open Short,0.00022,45455,10.0001,0.0045,-0.0045
12/28/2025 - 19:03:11,TRX,Open Long,0.2845,36,10.241999999999999,0.004608,-0.004608
12/28/2025 - 19:03:15,BCH,Open Long,628.08,0.016,10.049280000000001,0.004522,-0.004522
12/28/2025 - 19:03:17,TON,Open Long,1.6523,6.1,10.07903,0.004535,-0.004535
12/28/2025 - 19:03:20,MOVE,Open Short,0.036204,277,10.028508,0.004512,-0.004512
12/28/2025 - 19:03:23,BANANA,Open Short,7.0677,1.5,10.60155,0.00477,-0.00477
12/28/2025 - 19:07:25,MAVIA,Open Short,0.0516,194,10.0104,0.004504,-0.004504
12/28/2025 - 19:20:48,TRX,Open Long,0.28409,36,10.22724,0.004602,-0.004602
12/28/2025 - 19:20:51,BCH,Open Long,619.52,0.017,10.53184,0.004739,-0.004739
12/28/2025 - 19:20:54,TON,Open Long,1.6408,6.1,10.00888,0.004503,-0.004503
12/28/2025 - 19:20:57,MOVE,Open Short,0.035749,280,10.009720000000002,0.004504,-0.004504
12/28/2025 - 19:21:00,BANANA,Open Short,7.0538,1.5,10.5807,0.004761,-0.004761
12/28/2025 - 19:21:03,MAVIA,Open Short,0.05148,194.2,9.997416,0.004498,-0.004498
12/29/2025 - 11:20:41,MAVIA,Close Short,0.05193,194.2,10.084805999999999,0.004538,-0.082218
12/29/2025 - 11:21:22,BANANA,Close Short,6.9474,1.5,10.4211,0.004689,0.244101
12/29/2025 - 11:21:39,MOVE,Close Short,0.035976,280,10.07328,0.004532,0.0010680000000000004
12/29/2025 - 11:22:11,BCH,Close Long,604.34,0.017,10.273780000000002,0.004623,-0.18456799999999998
12/29/2025 - 11:22:24,TRX,Close Long,0.28224,36,10.160639999999999,0.004572,-0.069552
12/29/2025 - 11:33:09,BTC,Close Long,87937,0.0006,52.76219999999999,0.023742,0.155538
12/29/2025 - 11:33:17,ME,Close Short,0.20649,244.3,50.445507000000006,0.0227,-1.2124409999999999
12/29/2025 - 11:33:29,TNSR,Close Short,0.07992745,364.7,29.149541014999997,0.013117,0.23580900000000002
12/29/2025 - 11:34:38,BNB,Close Long,853.88,0.024,20.49312,0.009221,0.201019
12/29/2025 - 11:34:43,TRX,Close Long,0.28207,72,20.30904,0.009139,-0.151339
12/29/2025 - 11:34:57,ICP,Close Short,3.0585,3.3,10.09305,0.004541,-0.177164
12/29/2025 - 19:02:17,BNB,Open Long,854.83,0.012,10.25796,0.004616,-0.004616
12/29/2025 - 19:02:20,TRX,Open Long,0.2829,36,10.1844,0.004582,-0.004582
12/29/2025 - 19:02:22,BTC,Open Long,87927,0.00012,10.55124,0.004748,-0.004748
12/29/2025 - 19:02:28,ME,Open Short,0.20588,48.6,10.005768,0.004502,-0.004502
12/29/2025 - 19:02:32,MOVE,Open Short,0.035443,283,10.030369,0.004513,-0.004513
12/29/2025 - 19:03:48,STRK,Open Short,0.08114,124,10.06136,0.004527,-0.004527
12/30/2025 - 19:02:19,BNB,Open Long,859.93,0.012,10.31916,0.004643,-0.004643
12/30/2025 - 19:02:21,BTC,Open Long,88274,0.00012,10.592880000000001,0.004766,-0.004766
12/30/2025 - 19:02:24,TRX,Open Long,0.28552,36,10.27872,0.004625,-0.004625
12/30/2025 - 19:02:29,GMT,Open Short,0.016297,614,10.006357999999999,0.004502,-0.004502
12/30/2025 - 19:02:32,EIGEN,Open Short,0.3639,27.48,9.999972,0.004499,-0.004499
12/30/2025 - 19:03:54,STRK,Open Short,0.0794,126,10.0044,0.004501,-0.004501
12/31/2025 - 19:03:20,BNB,Open Long,861.99,0.012,10.34388,0.004654,-0.004654
12/31/2025 - 19:03:23,BTC,Open Long,87617,0.00012,10.51404,0.004731,-0.004731
12/31/2025 - 19:03:25,ETH,Open Long,2975.6,0.0034,10.11704,0.004552,-0.004552
12/31/2025 - 19:03:28,GMT,Open Short,0.015218,657,9.998226,0.004499,-0.004499
12/31/2025 - 19:03:34,AIXBT,Open Short,0.033037,303,10.010210999999998,0.004504,-0.004504
12/31/2025 - 19:05:21,TNSR,Open Short,0.0772,130,10.036000000000001,0.004516,-0.004516
1/1/2026 - 19:02:10,BNB,Open Long,859.61,0.012,10.31532,0.004641,-0.004641
1/1/2026 - 19:02:13,BTC,Open Long,88317,0.00012,10.598040000000001,0.004769,-0.004769
1/1/2026 - 19:02:16,CAKE,Open Long,1.98,5.1,10.097999999999999,0.004544,-0.004544
1/1/2026 - 19:02:19,GMT,Open Short,0.015371,651,10.006521,0.004502,-0.004502
1/1/2026 - 19:02:22,TNSR,Open Short,0.07796,128.3,10.002268,0.004501,-0.004501
1/1/2026 - 19:02:25,USTC,Open Short,0.006471,1546,10.004166,0.004501,-0.004501
1/2/2026 - 19:02:25,BTC,Open Long,90427,0.00012,10.85124,0.004883,-0.004883
1/2/2026 - 19:02:27,ATOM,Open Long,2.1382,4.68,10.006775999999999,0.004503,-0.004503
1/2/2026 - 19:02:30,ALGO,Open Long,0.12599,80,10.0792,0.004535,-0.004535
1/2/2026 - 19:02:33,POLYX,Open Short,0.056977,176,10.027951999999999,0.004512,-0.004512
1/2/2026 - 19:02:36,MERL,Open Short,0.25838,39,10.07682,0.004534,-0.004534
1/2/2026 - 19:02:39,AVNT,Open Short,0.35717,28,10.00076,0.0045,-0.0045
1/3/2026 - 19:02:20,XRP,Open Long,2.0002,6,12.0012,0.0054,-0.0054
1/3/2026 - 19:02:22,SOL,Open Long,131.79,0.08,10.543199999999999,0.004744,-0.004744
1/3/2026 - 19:02:26,TON,Open Long,1.8262,5.5,10.0441,0.004519,-0.004519
1/3/2026 - 19:02:28,REZ,Open Short,0.005336,1874,9.999664,0.004499,-0.004499
1/3/2026 - 19:02:31,AVNT,Open Short,0.34478,29,9.998619999999999,0.004499,-0.004499
1/3/2026 - 19:02:34,TURBO,Open Short,0.001966,5084,9.995144,0.004497,-0.004497
1/4/2026 - 19:03:23,TRX,Open Long,0.29485,34,10.0249,0.004511,-0.004511
1/4/2026 - 19:03:26,ATOM,Open Long,2.3222,4.31,10.008681999999999,0.004503,-0.004503
1/4/2026 - 19:03:28,BTC,Open Long,91250,0.00011,10.0375,0.004516,-0.004516
1/4/2026 - 19:03:31,MERL,Open Short,0.25265,40,10.106,0.004547,-0.004547
1/4/2026 - 19:03:34,USTC,Open Short,0.006896,1450,9.9992,0.004499,-0.004499
1/4/2026 - 19:03:36,AVNT,Open Short,0.35188,29,10.20452,0.004592,-0.004592
1/5/2026 - 19:02:21,XLM,Open Long,0.23702,43,10.19186,0.004586,-0.004586
1/5/2026 - 19:02:24,XRP,Open Long,2.2045,5,11.022499999999999,0.00496,-0.00496
1/5/2026 - 19:02:27,ATOM,Open Long,2.3539,4.25,10.004075,0.004501,-0.004501
1/5/2026 - 19:02:30,MERL,Open Short,0.2461,41,10.090100000000001,0.00454,-0.00454
1/5/2026 - 19:02:34,AIXBT,Open Short,0.04201,238,9.99838,0.004499,-0.004499
1/5/2026 - 19:02:37,REZ,Open Short,0.005673,1762,9.995826000000001,0.004498,-0.004498
1/6/2026 - 19:03:24,XRP,Open Long,2.2255,5,11.1275,0.005007,-0.005007
1/6/2026 - 19:03:27,XLM,Open Long,0.23646,43,10.16778,0.004575,-0.004575
1/6/2026 - 19:03:30,BTC,Open Long,91733,0.00011,10.09063,0.00454,-0.00454
1/6/2026 - 19:03:33,MERL,Open Short,0.23976,42,10.06992,0.004531,-0.004531
1/6/2026 - 19:03:35,HMSTR,Open Short,0.000243,41153,10.000179,0.0045,-0.0045
1/6/2026 - 19:03:39,AIXBT,Open Short,0.03989,251,10.01239,0.004505,-0.004505
1/7/2026 - 19:02:22,SOL,Open Long,135.34,0.08,10.827200000000001,0.004872,-0.004872
1/7/2026 - 19:02:25,ETH,Open Long,3150.3,0.0032,10.080960000000001,0.004536,-0.004536
1/7/2026 - 19:02:28,ATOM,Open Long,2.4361,4.11,10.012371000000002,0.004505,-0.004505
1/7/2026 - 19:02:31,AIXBT,Open Short,0.03869,259,10.020710000000001,0.004509,-0.004509
1/7/2026 - 19:02:34,IP,Open Short,2.0201,5,10.100499999999998,0.004545,-0.004545
1/7/2026 - 19:02:37,AVNT,Open Short,0.32603,31,10.10693,0.004548,-0.004548
1/8/2026 - 19:02:19,TRX,Open Long,0.29441,34,10.00994,0.004504,-0.004504
1/8/2026 - 19:02:22,SOL,Open Long,138.62,0.08,11.0896,0.00499,-0.00499
1/8/2026 - 19:02:24,ARK,Open Long,0.28885,35,10.10975,0.004549,-0.004549
1/8/2026 - 19:02:27,MERL,Open Short,0.24828,41,10.17948,0.00458,-0.00458
1/8/2026 - 19:02:30,IP,Open Short,2.0183,5,10.0915,0.004541,-0.004541
1/8/2026 - 19:02:33,ZEC,Open Short,427.46,0.03,12.823799999999999,0.00577,-0.00577
1/9/2026 - 19:02:19,SOL,Open Long,138.32,0.08,11.0656,0.004979,-0.004979
1/9/2026 - 19:02:22,ATOM,Open Long,2.5787,3.88,10.005355999999999,0.004502,-0.004502
1/9/2026 - 19:02:25,PAXG,Open Long,4488.8,0.003,13.4664,0.006059,-0.006059
1/9/2026 - 19:02:28,ZEC,Open Short,424.79,0.03,12.7437,0.005734,-0.005734
1/9/2026 - 19:02:30,ME,Open Short,0.21764,46,10.01144,0.004505,-0.004505
1/9/2026 - 19:02:34,STRK,Open Short,0.08342,119.9,10.002058,0.0045,-0.0045
1/10/2026 - 18:34:23,GMT,Close Short,0.022559,1922,43.358398,0.019511,-13.367801
1/10/2026 - 18:47:45,GMT,Open Short,0.022325,1342,29.960150000000002,0.013482,-0.013482
1/10/2026 - 19:02:23,BNB,Open Long,908.93,0.012,10.90716,0.004908,-0.004908
1/10/2026 - 19:02:26,ATOM,Open Long,2.578,3.89,10.02842,0.004512,-0.004512
1/10/2026 - 19:02:28,TRX,Open Long,0.2997,34,10.1898,0.004585,-0.004585
1/10/2026 - 19:02:31,ME,Open Short,0.21934,45.6,10.001904000000001,0.0045,-0.0045
1/10/2026 - 19:02:34,ZEC,Open Short,367,0.03,11.01,0.004954,-0.004954
1/10/2026 - 19:02:36,IP,Open Short,1.9984,5.1,10.19184,0.004586,-0.004586
1/11/2026 - 19:05:06,BNB,Open Long,906.18,0.012,10.87416,0.004893,-0.004893
1/11/2026 - 19:05:10,CAKE,Open Long,2.0047,5,10.0235,0.00451,-0.00451
1/11/2026 - 19:05:12,BNB,Open Long,906.18,0.012,10.87416,0.004893,-0.004893
1/11/2026 - 19:05:12,ALGO,Open Long,0.13381,75,10.03575,0.004516,-0.004516
1/11/2026 - 19:05:15,CAKE,Open Long,2.0047,5,10.0235,0.00451,-0.00451
1/11/2026 - 19:05:15,ZEC,Open Short,388.73,0.03,11.6619,0.005247,-0.005247
1/11/2026 - 19:05:18,ALGO,Open Long,0.13381,75,10.03575,0.004516,-0.004516
1/11/2026 - 19:05:21,STRK,Open Short,0.08214,121.8,10.004652,0.004502,-0.004502
1/11/2026 - 19:05:21,ZEC,Open Short,388.68,0.03,11.6604,0.005247,-0.005247
1/11/2026 - 19:05:26,STRK,Open Short,0.08209,121.8,9.998562,0.004499,-0.004499
1/11/2026 - 19:08:13,ALGO,Close Long,0.13368,75,10.026,0.004511,0.457339
1/11/2026 - 19:08:35,BNB,Close Long,905.61,0.012,10.867320000000001,0.00489,0.306462
1/11/2026 - 19:09:22,STRK,Close Short,0.08216,121.8,10.007088,0.004503,-0.071493
1/11/2026 - 19:10:37,USTC,Open Short,0.007148,1399,10.000052,0.0045,-0.0045
1/11/2026 - 19:13:43,CAKE,Close Long,2.0027,5,10.0135,0.004506,0.027244
1/12/2026 - 19:02:21,SOL,Open Long,141.78,0.08,11.3424,0.005104,-0.005104
1/12/2026 - 19:02:24,BTC,Open Long,91475,0.00011,10.06225,0.004528,-0.004528
1/12/2026 - 19:02:27,ETH,Open Long,3102.7,0.0033,10.238909999999999,0.004607,-0.004607
1/12/2026 - 19:02:31,ME,Open Short,0.20511,48.8,10.009367999999998,0.004504,-0.004504
1/12/2026 - 19:02:34,GMT,Open Short,0.019036,525,9.9939,0.004497,-0.004497
1/12/2026 - 19:02:37,ANIME,Open Short,0.007337,1363,10.000331,0.0045,-0.0045
1/13/2026 - 07:01:42,IP,Market Order Liquidation: Close Short,3.1419,22.1,69.43599,0.031246,-28.995727
1/13/2026 - 15:23:29,ZEC,Close Short,410.54,0.03,12.3162,0.005542,-0.161794
1/13/2026 - 19:02:19,BTC,Open Long,93213,0.00011,10.25343,0.004614,-0.004614
1/13/2026 - 19:02:22,BNB,Open Long,922.55,0.011,10.14805,0.004566,-0.004566
1/13/2026 - 19:02:24,TRX,Open Long,0.30195,34,10.2663,0.004619,-0.004619
1/13/2026 - 19:02:27,GMT,Open Short,0.019299,518,9.996882,0.004498,-0.004498
1/13/2026 - 19:02:31,ME,Open Short,0.21431,46.7,10.008277000000001,0.004503,-0.004503
1/13/2026 - 19:02:34,BIO,Open Short,0.044334,226,10.019484,0.004508,-0.004508
