signal_date,symbol,side,prediction,reason
2025-06-28,BCH,1,0.8403370030066436,no_price_inside_entry_window
2025-06-28,ANIME,-1,0.1553041803263207,no_price_inside_entry_window
2025-06-28,S,-1,0.166031405819681,no_price_inside_entry_window
2025-06-28,AIXBT,-1,0.1716629836016026,no_price_inside_entry_window
2025-06-29,RUNE,1,0.8534672273366317,no_price_inside_entry_window
2025-06-29,ATOM,1,0.8459892359299972,no_price_inside_entry_window
2025-06-29,RSR,1,0.8357563619706051,no_price_inside_entry_window
2025-06-29,AIXBT,-1,0.0877552387970799,no_price_inside_entry_window
2025-06-29,SPX,-1,0.1260482250047297,no_price_inside_entry_window
2025-06-29,ALT,-1,0.14199526417097,no_price_inside_entry_window
2025-06-30,SUSHI,1,0.8565754698852499,no_price_inside_entry_window
2025-06-30,BNB,1,0.8564284254113967,no_price_inside_entry_window
2025-06-30,ANIME,-1,0.0979621078102597,no_price_inside_entry_window
2025-06-30,AIXBT,-1,0.1105352956732907,no_price_inside_entry_window
2025-06-30,MELANIA,-1,0.1394512155794975,no_price_inside_entry_window
2025-07-01,BNB,1,0.8537485272378107,no_price_inside_entry_window
2025-07-01,BTC,1,0.8317600953342552,no_price_inside_entry_window
2025-07-01,SOL,1,0.8251811839665614,no_price_inside_entry_window
2025-07-01,ALT,-1,0.0901071759542871,no_price_inside_entry_window
2025-07-01,ANIME,-1,0.110693262324161,no_price_inside_entry_window
2025-07-01,OM,-1,0.1481165654088968,no_price_inside_entry_window
2025-07-02,SOPH,1,0.91828691404332,no_price_inside_entry_window
2025-07-02,POL,1,0.8701752915143174,no_price_inside_entry_window
2025-07-02,ONDO,1,0.8672337853919928,no_price_inside_entry_window
2025-07-02,ZEREBRO,-1,0.0876858790660534,no_price_inside_entry_window
2025-07-02,OM,-1,0.0967931652400622,no_price_inside_entry_window
2025-07-02,ANIME,-1,0.1075644662631988,no_price_inside_entry_window
2025-07-03,MERL,1,0.8658712980813053,no_price_inside_entry_window
2025-07-03,kBONK,1,0.8478604227017678,no_price_inside_entry_window
2025-07-03,ETH,1,0.8445337539840406,no_price_inside_entry_window
