time,cash_collateral,account_equity,portfolio_margin_value,posted_initial_margin_open,maintenance_margin_required,margin_ratio,unrealized_pnl_total,unrealized_pnl_long,unrealized_pnl_short,realized_pnl_total,realized_pnl_long,realized_pnl_short,funding_pnl_total,fees_total,n_open_positions,long_exposure,short_exposure,gross_exposure,net_exposure,gross_leverage_on_equity
2026-01-12 00:00:00+00:00,305.02287271351025,2169.6045961001882,1864.581723386678,1799.9049059549525,135.39862065026978,0.06240704914326118,64.67681743172562,29.204528347387562,35.47228908433806,207.60726823657404,-164.94476005657887,372.55202829315294,-98.74552527195647,3.9339642961500343,48,945.4959588166564,888.7147412935943,1834.2107001102509,56.78121752306208,0.84541243294156
2026-01-12 01:00:00+00:00,305.02287271351025,2161.1143118609207,1856.09143914741,1799.8069382476024,136.5347556744745,0.06317794247399405,56.28450089980765,30.8441669776419,25.440333922165745,207.60726823657404,-164.94476005657887,372.55202829315294,-98.84349297930635,3.9339642961500343,48,947.1355974469107,898.7466964557666,1845.8822939026772,48.388900991144055,0.8541345007859398
2026-01-12 02:00:00+00:00,305.02287271351025,2157.886827616648,1852.8639549031382,1799.7001820264138,137.94883334132814,0.06392774244499673,53.16377287672437,38.24035990279318,14.923412973931194,207.60726823657404,-164.94476005657887,372.55202829315294,-98.95024920049548,3.9339642961500343,48,954.5317903720621,909.263617404001,1863.7954077760633,45.268172968061094,0.8637132327438116
2026-01-12 03:00:00+00:00,305.02287271351025,2159.7334004108707,1854.7105276973602,1799.6057433465767,137.2779246010682,0.06356243996363267,55.10478435078349,35.09875105330386,20.006033297479632,207.60726823657404,-164.94476005657887,372.55202829315294,-99.04468788033222,3.9339642961500343,48,951.3901815225728,904.1809970804527,1855.5711786030256,47.20918444212009,0.8591667741259265
2026-01-12 04:00:00+00:00,305.02287271351025,2157.596726037254,1852.573853323744,1799.542193663277,137.90763359948397,0.06391724270585623,53.0316596604672,37.92248655053974,15.10917310992746,207.60726823657404,-164.94476005657887,372.55202829315294,-99.10823756363251,3.9339642961500343,48,954.2139170198084,909.0778572680049,1863.2917742878133,45.13605975180349,0.8635959407066883
2026-01-12 05:00:00+00:00,305.02287271351025,2156.273681831617,1851.2508091181076,1799.4803945564247,137.84479802479123,0.06392732016638114,51.77041456168283,36.63676868065073,15.133645881032093,207.60726823657404,-164.94476005657887,372.55202829315294,-99.17003667048502,3.9339642961500343,48,952.9281991499197,909.0533844969001,1861.9815836468197,43.8748146530196,0.8635182070511499
2026-01-12 06:00:00+00:00,305.02287271351025,2157.2333822266232,1852.2105095131126,1799.3982147730435,137.30540840455214,0.06364884278901253,52.81229474006919,33.572617616503486,19.239677123565702,207.60726823657404,-164.94476005657887,372.55202829315294,-99.2522164538657,3.9339642961500343,48,949.8640480857723,904.9473532543665,1854.8114013401387,44.916694831405835,0.8598102628217561
2026-01-12 07:00:00+00:00,305.02287271351025,2160.0670925086774,1855.0442197951672,1799.3272852439397,136.2114478886658,0.06305889680976129,55.716934551227524,28.37639683850987,27.34053771271766,207.60726823657404,-164.94476005657887,372.55202829315294,-99.32314598296922,3.9339642961500343,48,944.6678273077787,896.8464926652146,1841.5143199729932,47.821334642564125,0.8525264452940113
2026-01-12 08:00:00+00:00,305.02287271351025,2165.2587514802613,1860.2358787667506,1799.2576886497557,135.26256635217212,0.06246946987730726,60.97819011699494,25.420912491387277,35.55727762560766,207.60726823657404,-164.94476005657887,372.55202829315294,-99.39274257715344,3.9339642961500343,48,941.712342960656,888.6297527523245,1830.3420957129806,53.08259020833145,0.8453225714763569
2026-01-12 09:00:00+00:00,305.02287271351025,2165.8293711734973,1860.8064984599869,1799.2128798531917,134.92980514327104,0.062299369903808674,61.59361860679515,23.7862174506045,37.80740115619064,207.60726823657404,-164.94476005657887,372.55202829315294,-99.43755137371768,3.9339642961500343,48,940.0776479198734,886.3796292217417,1826.4572771416151,53.698018698131705,0.8433061724303783
2026-01-12 10:00:00+00:00,305.02287271351025,2164.5222824563803,1859.4994097428703,1799.1637842761725,134.7769781668057,0.062266385178468005,60.335625466697735,21.74800738426513,38.587618082432606,207.60726823657404,-164.94476005657887,372.55202829315294,-99.48664695073673,3.9339642961500343,48,938.0394378535341,885.5994122954997,1823.6388501490337,52.440025558034336,0.84251331803316
2026-01-12 11:00:00+00:00,305.02287271351025,2161.902287641813,1856.879414928303,1799.1213363299087,135.2052914962601,0.06253996411824006,57.75807859839427,23.082940572666892,34.67513802572738,207.60726823657404,-164.94476005657887,372.55202829315294,-99.52909489700066,3.9339642961500343,48,939.3743710419357,889.511892352205,1828.8862633941408,49.862478689730665,0.8459615746043159
2026-01-12 12:00:00+00:00,305.02287271351025,2161.570149937912,1856.5472772244018,1799.0687879947152,135.33300263092943,0.06260865632087706,57.4784892296865,23.732936113094954,33.74555311659155,207.60726823657404,-164.94476005657887,372.55202829315294,-99.58164323219351,3.9339642961500343,48,940.024366582364,890.4414772613407,1830.4658438437045,49.582889321023345,0.8468223175159418
2026-01-12 13:00:00+00:00,305.02287271351025,2167.8035032139856,1862.7806305004756,1798.991237772653,134.34359039786526,0.06197221759199459,63.789392727822474,21.572597707073072,42.2167950207494,207.60726823657404,-164.94476005657887,372.55202829315294,-99.65919345425623,3.9339642961500343,48,937.8640281763421,881.970235357183,1819.8342635335252,55.8937928191591,0.8394830347102211
