signal_date,symbol,prediction,side,daily_rank
2025-11-29,PAXG,0.9154571903756394,1,2
2025-11-29,BTC,0.9062841382253084,1,3
2025-11-29,TNSR,0.0689791585103122,-1,4
2025-11-29,WCT,0.0990619857226413,-1,5
2025-11-29,MAVIA,0.1056724855184979,-1,6
2025-11-30,BTC,0.9334972987415991,1,1
2025-11-30,TRX,0.9271589885616098,1,2
2025-11-30,PAXG,0.926563534214718,1,3
2025-11-30,TNSR,0.0415525973606453,-1,4
2025-11-30,STRK,0.1205007291860439,-1,5
2025-11-30,USUAL,0.1327973877678434,-1,6
2025-12-01,TRX,0.9468051991133444,1,1
2025-12-01,BNB,0.9350943092633625,1,2
2025-12-01,BTC,0.9264497027425206,1,3
2025-12-01,ALT,0.1178941520886706,-1,4
2025-12-01,ZK,0.1308411888388188,-1,5
2025-12-01,DYM,0.1528614969458548,-1,6
2025-12-02,PAXG,0.9188312535799426,1,1
2025-12-02,TRX,0.9172610561340436,1,2
2025-12-02,BTC,0.8299417545572163,1,3
2025-12-02,TNSR,0.0542976180507436,-1,4
2025-12-02,WCT,0.153587879108248,-1,5
2025-12-02,TIA,0.1751044931703341,-1,6
2025-12-03,XRP,0.9140755755132166,1,1
2025-12-03,BTC,0.9130787077169008,1,2
2025-12-03,SOL,0.8787110972174361,1,3
2025-12-03,WCT,0.1516164814040481,-1,4
2025-12-03,SUPER,0.1555609532578452,-1,5
2025-12-03,HMSTR,0.1664369251775666,-1,6
2025-12-04,BNB,0.9320908878098008,1,1
2025-12-04,ETH,0.9207854979779226,1,2
2025-12-04,BTC,0.9138730879595052,1,3
2025-12-04,TNSR,0.0572728364848268,-1,4
2025-12-04,DYM,0.1321335325922381,-1,5
2025-12-04,0G,0.1668438577241091,-1,6
2025-12-05,TRX,0.9438688822104218,1,1
2025-12-05,BTC,0.9269909974510684,1,2
2025-12-05,BNB,0.8920671280700727,1,3
2025-12-05,TNSR,0.0777685684153174,-1,4
2025-12-05,WCT,0.1381427897646684,-1,5
2025-12-05,LINEA,0.1622826681327182,-1,6
2025-12-06,TRX,0.9563549416463256,1,1
2025-12-06,BTC,0.9351495448897756,1,2
2025-12-06,ETH,0.8845430567427992,1,3
2025-12-06,TNSR,0.0988341540718343,-1,4
2025-12-06,WCT,0.1380175251950422,-1,5
2025-12-06,DYM,0.1857984901304896,-1,6
2025-12-07,BNB,0.8759689241488304,1,1
2025-12-07,TRX,0.8641512441139568,1,2
2025-12-07,GAS,0.8389232513350167,1,3
2025-12-07,TNSR,0.1217215624866201,-1,4
2025-12-07,SUPER,0.136882561799451,-1,5
2025-12-07,RESOLV,0.1473685844577781,-1,6
2025-12-08,TRX,0.9419426113550752,1,1
2025-12-08,BNB,0.9305682096143152,1,2
2025-12-08,BTC,0.9265851157675394,1,3
2025-12-08,TNSR,0.0613895382987273,-1,4
2025-12-08,TIA,0.1848900397531379,-1,5
2025-12-08,NOT,0.1934286544446797,-1,6
2025-12-09,BTC,0.9191380880232244,1,1
2025-12-09,ADA,0.8841027414487709,1,2
2025-12-09,ETH,0.8818860436508197,1,3
2025-12-09,TNSR,0.0470215562490532,-1,4
2025-12-09,TURBO,0.1589967504014822,-1,5
2025-12-09,HMSTR,0.1689944200333294,-1,6
2025-12-10,BTC,0.885480014512323,1,1
2025-12-10,ETH,0.8714785296411309,1,2
2025-12-10,XLM,0.8609954635600885,1,3
2025-12-10,TNSR,0.0954782377265116,-1,4
2025-12-10,DYM,0.1409405858203446,-1,5
2025-12-10,HMSTR,0.1488515520127032,-1,6
2025-12-11,BTC,0.921586599848928,1,1
2025-12-11,PAXG,0.9036991805533876,1,2
2025-12-11,XLM,0.8793048931252072,1,3
2025-12-11,TNSR,0.0995068663992213,-1,4
2025-12-11,ZEC,0.1863986627932017,-1,5
2025-12-11,WCT,0.1874654504707151,-1,6
2025-12-12,PAXG,0.9522090392261756,1,1
2025-12-12,BTC,0.9515297339273202,1,2
2025-12-12,TRX,0.9300289710938252,1,3
2025-12-12,HMSTR,0.1509585790086266,-1,4
2025-12-12,XAI,0.1679370101051993,-1,5
2025-12-12,ZEN,0.1751007528938707,-1,6
2025-12-13,BNB,0.9217193808356936,1,1
2025-12-13,PAXG,0.9186739946680076,1,2
2025-12-13,BCH,0.9054439461251824,1,3
2025-12-13,MAVIA,0.1306424694066343,-1,4
2025-12-13,TNSR,0.1437138175769468,-1,5
2025-12-13,HMSTR,0.1750081009370599,-1,6
2025-12-14,BTC,0.9413565834958276,1,1
2025-12-14,BNB,0.9382614191180296,1,2
2025-12-14,PAXG,0.8964460741980994,1,3
2025-12-14,DYM,0.1315535106466963,-1,4
2025-12-14,USTC,0.1412154849910077,-1,5
2025-12-14,TNSR,0.1466622610510046,-1,6
2025-12-15,TRX,0.960977859510012,1,1
2025-12-15,PAXG,0.948493443829485,1,2
2025-12-15,BTC,0.9362031518253636,1,3
2025-12-15,TNSR,0.0774122152859227,-1,4
2025-12-15,ZEC,0.1243360003471423,-1,5
2025-12-15,EIGEN,0.181969465841083,-1,6
2025-12-16,TRX,0.9601439780882284,1,1
2025-12-16,BTC,0.9044438980821226,1,2
2025-12-16,BNB,0.8595818717174825,1,3
2025-12-16,TNSR,0.0649904839669726,-1,4
2025-12-16,MAVIA,0.1529288531294692,-1,5
2025-12-16,USUAL,0.1684612971733805,-1,6
2025-12-17,TRX,0.928254045972886,1,1
2025-12-17,BNB,0.90850321456881,1,2
2025-12-17,LTC,0.891391740751255,1,3
2025-12-17,TNSR,0.0561174453862513,-1,4
2025-12-17,MOVE,0.1251477039964875,-1,5
2025-12-17,MERL,0.1363410814918264,-1,6
2025-12-18,TRX,0.9174220573405008,1,1
2025-12-18,BTC,0.917175570974982,1,2
2025-12-18,BNB,0.8715902410945326,1,3
2025-12-18,ZEC,0.1221015431269854,-1,4
2025-12-18,TNSR,0.1259289638341119,-1,5
2025-12-18,MOVE,0.1860845945625603,-1,6
2025-12-19,BTC,0.9243665171871758,1,1
2025-12-19,BNB,0.8888877426818004,1,2
2025-12-19,TRX,0.8766079536116665,1,3
2025-12-19,TNSR,0.1013622551375616,-1,4
2025-12-19,ZK,0.1701988904892936,-1,5
2025-12-19,0G,0.1750683203430292,-1,6
2025-12-20,BTC,0.8838207271572716,1,1
2025-12-20,XRP,0.8385085695157259,1,2
2025-12-20,TON,0.8383916725125259,1,3
2025-12-20,USTC,0.1352653972730048,-1,4
2025-12-20,TNSR,0.1574188467145795,-1,5
2025-12-20,MOVE,0.169840551898793,-1,6
2025-12-21,BTC,0.9068625538781084,1,1
2025-12-21,XRP,0.8775773739261578,1,2
2025-12-21,TRX,0.8744629783373205,1,3
2025-12-21,TNSR,0.1302789675164586,-1,4
2025-12-21,AIXBT,0.1608572959845704,-1,5
2025-12-21,JTO,0.1839817397343106,-1,6
2025-12-22,BTC,0.9670687573195568,1,1
2025-12-22,TRX,0.9325833212387948,1,2
2025-12-22,BNB,0.8965997132703792,1,3
2025-12-22,TNSR,0.1361246062817603,-1,4
2025-12-22,ICP,0.1784380930363578,-1,5
2025-12-22,USTC,0.1794592017608981,-1,6
2025-12-23,ETC,0.8833887970863084,1,1
2025-12-23,XLM,0.8576931127989823,1,2
2025-12-23,AVAX,0.8541944707578459,1,3
2025-12-23,ME,0.1433911233682388,-1,4
2025-12-23,TNSR,0.1530023359317811,-1,5
2025-12-23,HMSTR,0.1544742805414637,-1,6
2025-12-24,BTC,0.911442611522278,1,1
2025-12-24,ATOM,0.8876244556677428,1,2
2025-12-24,TON,0.8557150379890566,1,3
2025-12-24,ME,0.0921099492818922,-1,4
2025-12-24,TNSR,0.1580233135060678,-1,5
2025-12-24,ZEC,0.1833364207477627,-1,6
2025-12-25,BTC,0.9686281879618152,1,1
2025-12-25,TON,0.9347527872572422,1,2
2025-12-25,BNB,0.9139375524420916,1,3
2025-12-25,MOVE,0.1563141389311892,-1,4
2025-12-25,POLYX,0.1657033006516724,-1,5
2025-12-25,YGG,0.1729738320484448,-1,6
2025-12-26,BTC,0.9266214620974657,1,1
2025-12-26,BCH,0.9094145009738022,1,2
2025-12-26,TON,0.898350519536563,1,3
2025-12-26,MOVE,0.172008169399165,-1,4
2025-12-26,IP,0.1859706088382227,-1,5
2025-12-26,ME,0.1863438166096517,-1,6
2025-12-27,BTC,0.8773008336586475,1,1
2025-12-27,ATOM,0.872843445935863,1,2
2025-12-27,ALGO,0.8637298526267331,1,3
2025-12-27,BANANA,0.1152579208150685,-1,4
2025-12-27,MOVE,0.1252748276889684,-1,5
2025-12-27,HMSTR,0.1368280187597173,-1,6
2025-12-28,TRX,0.9215651081010824,1,1
2025-12-28,BCH,0.9163903890619216,1,2
2025-12-28,TON,0.906018963674846,1,3
2025-12-28,MOVE,0.1048453408835183,-1,4
2025-12-28,BANANA,0.1424572737535757,-1,5
2025-12-28,MAVIA,0.1470030116296698,-1,6
2025-12-29,BNB,0.9705313912953908,1,1
2025-12-29,BTC,0.9607771143250772,1,2
2025-12-29,TRX,0.9570152232049928,1,3
2025-12-29,MOVE,0.133137313256921,-1,4
2025-12-29,STRK,0.1340285385191951,-1,5
2025-12-29,ME,0.1348335120472653,-1,6
2025-12-30,BNB,0.9624863302128044,1,1
2025-12-30,BTC,0.9545455663274512,1,2
2025-12-30,TRX,0.927566470171834,1,3
2025-12-30,GMT,0.1328597300558205,-1,4
2025-12-30,STRK,0.1475356877315464,-1,5
2025-12-30,EIGEN,0.1571189001618633,-1,6
2025-12-31,BNB,0.9726671855798754,1,1
2025-12-31,BTC,0.9615597140049142,1,2
2025-12-31,ETH,0.9363327437437794,1,3
2025-12-31,TNSR,0.0848817864148618,-1,4
2025-12-31,GMT,0.0858877648489463,-1,5
2025-12-31,AIXBT,0.146961827499174,-1,6
2026-01-01,BNB,0.963655341667082,1,1
2026-01-01,BTC,0.9104683013142127,1,2
2026-01-01,ETH,0.8969755330179455,1,3
2026-01-01,GMT,0.0999615973469217,-1,4
2026-01-01,TNSR,0.1497500412586134,-1,5
2026-01-01,USTC,0.1623813525267733,-1,6
2026-01-02,BTC,0.8920428678195921,1,1
2026-01-02,ATOM,0.8795515558128713,1,2
2026-01-02,ETH,0.8639908390141503,1,3
2026-01-02,POLYX,0.0752422894754784,-1,4
2026-01-02,MERL,0.1316028620768059,-1,5
2026-01-02,AVNT,0.1444849597300293,-1,6
2026-01-03,XRP,0.8877872939838578,1,1
2026-01-03,SOL,0.8839130427441194,1,2
2026-01-03,ATOM,0.8594582251142263,1,3
2026-01-03,REZ,0.118672521265101,-1,4
2026-01-03,AVNT,0.1376779817696719,-1,5
2026-01-03,TURBO,0.1389547127366916,-1,6
2026-01-04,TRX,0.9204583518499596,1,1
2026-01-04,ATOM,0.8923346547617492,1,2
2026-01-04,BTC,0.8888499141651133,1,3
2026-01-04,MERL,0.0997668331096794,-1,4
2026-01-04,USTC,0.1390180781646484,-1,5
2026-01-04,AVNT,0.1549211587004093,-1,6
2026-01-05,XLM,0.9304676240377192,1,1
2026-01-05,XRP,0.9069194846628992,1,2
2026-01-05,ATOM,0.8743694946441491,1,3
2026-01-05,MERL,0.0935047679858264,-1,4
2026-01-05,AIXBT,0.1229021447356112,-1,5
2026-01-05,REZ,0.1497582444977085,-1,6
2026-01-06,XRP,0.9635577372820006,1,1
2026-01-06,XLM,0.9070733075108406,1,2
2026-01-06,BTC,0.889552187166023,1,3
2026-01-06,MERL,0.1005022877097806,-1,4
2026-01-06,HMSTR,0.1207274569774945,-1,5
2026-01-06,AIXBT,0.1282902420792944,-1,6
2026-01-07,ETH,0.9404890113979224,1,1
2026-01-07,SOL,0.9401767228192736,1,2
2026-01-07,BNB,0.8817304031333281,1,3
2026-01-07,AIXBT,0.1318084780187168,-1,4
2026-01-07,IP,0.1654703354425802,-1,5
2026-01-07,AVNT,0.1776414169341001,-1,6
2026-01-08,TRX,0.8744636019857416,1,1
2026-01-08,SOL,0.8619621458750258,1,2
2026-01-08,ARK,0.8400062469316093,1,3
2026-01-08,MERL,0.1341309835986439,-1,4
2026-01-08,IP,0.1722306893722553,-1,5
2026-01-08,STRK,0.1727818326142252,-1,6
2026-01-09,SOL,0.971763357449418,1,1
2026-01-09,ATOM,0.9098682513622848,1,2
2026-01-09,PAXG,0.860713408347342,1,3
2026-01-09,ZEC,0.0810550100013298,-1,4
2026-01-09,ME,0.1276007384416844,-1,5
2026-01-09,STRK,0.1344351463483505,-1,6
2026-01-10,BNB,0.907200973890008,1,1
2026-01-10,ATOM,0.9000763818433899,1,2
2026-01-10,TRX,0.8937022592980836,1,3
